,price,date
77,4.26,2020-06-01
76,4.29,2020-06-02
75,4.33,2020-06-03
74,4.34,2020-06-04
73,4.31,2020-06-05
72,4.35,2020-06-08
71,4.35,2020-06-09
70,4.34,2020-06-10
69,4.31,2020-06-11
68,4.23,2020-06-12
67,4.24,2020-06-15
66,4.25,2020-06-16
65,4.25,2020-06-17
64,4.24,2020-06-18
63,4.27,2020-06-19
62,4.30,2020-06-22
61,4.28,2020-06-23
60,4.26,2020-06-24
59,4.26,2020-06-29
58,4.20,2020-06-30
57,4.19,2020-07-01
56,4.24,2020-07-02
55,4.33,2020-07-03
54,4.44,2020-07-06
53,4.77,2020-07-07
52,4.67,2020-07-08
51,4.68,2020-07-09
50,4.70,2020-07-10
49,4.59,2020-07-13
48,4.62,2020-07-14
47,4.58,2020-07-15
46,4.50,2020-07-16
45,4.40,2020-07-17
44,4.40,2020-07-20
43,4.50,2020-07-21
42,4.50,2020-07-22
41,4.58,2020-07-23
40,4.62,2020-07-24
39,4.51,2020-07-27
38,4.47,2020-07-28
37,4.45,2020-07-29
36,4.50,2020-07-30
35,4.44,2020-07-31
34,4.45,2020-08-03
33,4.49,2020-08-04
32,4.53,2020-08-05
31,4.53,2020-08-06
30,4.50,2020-08-07
29,4.45,2020-08-10
28,4.49,2020-08-11
27,4.43,2020-08-12
26,4.46,2020-08-13
25,4.47,2020-08-14
24,4.47,2020-08-17
23,4.54,2020-08-18
22,4.53,2020-08-19
21,4.52,2020-08-20
20,4.47,2020-08-21
19,4.48,2020-08-24
18,4.47,2020-08-25
17,4.45,2020-08-26
16,4.42,2020-08-27
15,4.41,2020-08-28
14,4.44,2020-08-31
13,4.42,2020-09-01
12,4.40,2020-09-02
11,4.34,2020-09-03
10,4.29,2020-09-04
9,4.30,2020-09-07
8,4.29,2020-09-08
7,4.28,2020-09-09
6,4.30,2020-09-10
5,4.23,2020-09-11
4,4.25,2020-09-14
3,4.26,2020-09-15
2,4.25,2020-09-16
1,4.26,2020-09-17
0,4.25,2020-09-18
